Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),Lesson,
размер,550,size,N.Masc.Inan,A1,"Golosa, MiP, МН",2,размеров,Gen.Plur,В этом магазине нет больших размеров.,You can't find large sizes in this shop.,_,мера,27,
размер,551,size,N.Masc.Inan,A1,"Golosa, MiP, МН",3,размер,Nom.Sing,Какой у тебя размер обуви?,Which shoe size do you wear?,_,мера,27,
ошибка,552,mistake,N.Fem.Inan,A1,"MiP, МН",1,ошибок,Gen.Plur,"Ты написал сложное слово без ошибок, молодец!","You've written a difficult word without mistakes, well done!",_,"люди, учёба/работа",20,
ошибка,553,mistake,N.Fem.Inan,A1,"MiP, МН",2,ошибка,Nom.Sing,"Здесь ошибка, имя записано неправильно.","There is a mistake here, the name is entered incorrectly.",_,"люди, учёба/работа",20,
ошибка,554,mistake,N.Fem.Inan,A1,"MiP, МН",3,ошибку,Acc.Sing,"Если ты сделал ошибку, нужно это признать.","If you've made a mistake, you must admit it.",_,"люди, учёба/работа",20,
клуб,555,club,N.Masc.Inan,A1,"LM, МН",1,клуба,Gen.Sing,Дима – член студенческого футбольного клуба.,Dima is a member of the student football club.,_,"свободное время, общение",24,
клуб,556,club,N.Masc.Inan,A1,"LM, МН",2,клуб,Nom.Sing,"Этот клуб очень красивый, но внутри слишком шумно.",This club is very nice but it's too loud inside.,_,"свободное время, общение",24,
клуб,557,club,N.Masc.Inan,A1,"LM, МН",3,клубе,Loc.Sing,Вчера в клубе выступала твоя любимая группа.,Yesterday your favorite band played at the club.,_,"свободное время, общение",24,
удовольствие,558,pleasure,N.Neut.Inan,A1,"MiP, LM, МН",1,удовольствием,Ins.Sing,"Я бы с удовольствием выпил, но я за рулём сегодня.",I'd love to have a drink but I'm driving today.,_,внутренний мир,25,
удовольствие,559,pleasure,N.Neut.Inan,A1,"MiP, LM, МН",2,удовольствие,Acc.Sing,Я получаю удовольствие от плавания.,I really enjoy swimming.,_,внутренний мир,25,
удовольствие,560,pleasure,N.Neut.Inan,A1,"MiP, LM, МН",3,удовольствия,Gen.Sing,Маша откусила пирог и закрыла глаза от удовольствия.,Masha has took a bite of the pastry and shut her eyes with pleasure.,,внутренний мир,25,
девочка,561,girl,N.Fem.Anim,A1,МН,1,девочка,Nom.Sing,Катя – самая высокая девочка в нашем классе.,Katya is the tallest girl in our class.,_,люди,3,
девочка,562,girl,N.Fem.Anim,A1,МН,2,девочку,Acc.Sing,"Миша, пригласи эту девочку к себе на день рождения!","Misha, invite this girl to your birthday party!",_,люди,3,
девочка,563,girl,N.Fem.Anim,A1,МН,3,девочки,Nom.Plur,"Маша, смотри, девочки играют в волейбол.","Masha, look, the girls are playing volleyball.",_,люди,3,
концерт,564,concert,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,концерт,Acc.Sing,Пойдёшь со мной на концерт?,Will you go to the concert with me?,_,"свободное время, общение",9,
концерт,565,concert,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,концерта,Gen.Sing,Вчера по дороге с концерта я встретил Лену.,Yesterday on the way back from the concert I met Lena.,_,"свободное время, общение",9,
концерт,566,concert,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,концерте,Loc.Sing,В субботу я была со своими друзьями на концерте.,On Saturday I was at a concert with my friends.,_,"свободное время, общение",9,
житель,567,inhabitant,N.Masc.Anim,A1,"MiP, МН",1,жителей,Gen.Plur,В Москве около десяти миллионов жителей.,About 10 million people live in Moscow.,_,люди,19,
житель,568,inhabitant,N.Masc.Anim,A1,"MiP, МН",2,жители,Nom.Plur,Жители села добираются в город на автобусе.,People from the village get to the city by bus.,_,люди,19,
житель,569,inhabitant,N.Masc.Anim,A1,"MiP, МН",3,жителям,Dat.Plur,Жителям Москвы понравилась новая станция метро.,The people of Moscow liked the new metro station.,_,люди,19,
сад,570,garden,N.Masc.Inan,A1,"LM, МН",1,сада,Gen.Sing,"Я буду на работе, забери Машу из детского сада.","I'll be at work, so you take Masha home from daycare.",_,жильё,7,
сад,571,garden,N.Masc.Inan,A1,"LM, МН",2,сад,Acc.Sing,Утром мы пошли работать в сад.,In the morning we went to work to the garden.,_,жильё,7,
сад,572,garden,N.Masc.Inan,A1,"LM, МН",3,саду,Loc.Sing,"В ботаническом саду на этой неделе проходит выставка роз, пойдём?","There is an exhibition of roses at the botanical garden this week, shall we go?",_,жильё,7,
поезд,573,train,N.Masc.Inan,A1,"MiP, LM, МН",1,поезд,Nom.Sing,"Кажется, наш поезд опаздывает.",It seems our train is late.,_,путешествие,18,
поезд,574,train,N.Masc.Inan,A1,"MiP, LM, МН",2,поезда,Gen.Sing,"Я вышел из поезда и понял, что забыл багаж.",I got out of the train and realized that I had forgotten my luggage.,_,путешествие,18,
поезд,575,train,N.Masc.Inan,A1,"MiP, LM, МН",3,поезде,Loc.Sing,В поезде есть туалет и Wifi.,The train has a toilet and Wifi.,_,путешествие,18,
трудный,576,difficult,A,A1,"Golosa, MiP, LM, МН",1,трудно,Adverb,Трудно возвращаться к работе после отпуска.,It's hard to come back to work after vacation.,_,внутренний мир,25,
трудный,577,difficult,A,A1,"Golosa, MiP, LM, МН",2,труднее,Comparative,Зимой гораздо труднее просыпаться с утра.,It's much more difficult to wake up in the morning in winter.,_,внутренний мир,25,
трудный,578,difficult,A,A1,"Golosa, MiP, LM, МН",3,трудней,Comparative,В горах дышать трудней.,It's more difficult to breathe in the mountains.,_,внутренний мир,25,
сестра,579,sister,N.Fem.Anim,A1,"LM, МН",1,сестра,Nom.Sing,Моя сестра отлично танцует.,My sister is a good dancer.,_,люди,4,
сестра,580,sister,N.Fem.Anim,A1,"LM, МН",2,сестрой,Ins.Sing,Вы с сестрой очень похожи.,You and your sister look a lot alike.,_,люди,4,
сестра,581,sister,N.Fem.Anim,A1,"LM, МН",3,сёстры,Nom.Plur,"А я и не знал, что вы сёстры!",I didn't even know that you were sisters!,_,люди,4,
цветок,582,flower,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,цветов,Gen.Plur,Коля подарил мне букет из полевых цветов.,Kolya gave me a bouqet of wildflowers.,_,животные/растения,27,
цветок,583,flower,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,цветы,Acc.Plur,"Маша любит цветы, особенно пионы.","Masha loves flowers, especially peonies.",_,животные/растения,27,
цветок,584,flower,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,цветами,Ins.Plur,У моих родителей в квартире много горшков с цветами.,There are many flower-pots in my parents' apartment.,_,животные/растения,27,
милиция,585,police,N.Fem.Inan,A1,"Golosa, MiP, МН",1,милиции,Gen.Sing,Его отец – сотрудник милиции.,His father is a police officer.,_,учёба/работа,20,
милиция,586,police,N.Fem.Inan,A1,"Golosa, MiP, МН",2,милиция,Nom.Sing,На место преступления приехала милиция.,The police came to the scene of the crime.,_,учёба/работа,20,
милиция,587,police,N.Fem.Inan,A1,"Golosa, MiP, МН",3,милицию,Acc.Sing,"Если соседи опять будут шуметь после одиннадцати вечера, я вызову милицию.",I'll call the police if my neighbors make noise after 11 pm again.,_,учёба/работа,20,
чай,588,tea,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,чай,Acc.Sing,Я пью чай без сахара.,I drink tea without sugar.,_,еда,8,
чай,589,tea,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,чаю,Gen.Sing,"Кажется, ты замёрз. Хочешь чаю?",It seems like you're cold. Want some tea?,_,еда,8,
чай,590,tea,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,чаем,Ins.Sing,Я возьму в дорогу бутерброд с чаем.,I'll take a sandwich with tea to go.,_,еда,8,
зима,591,winter,N.Fem.Inan,A1,"LM, МН",1,зиму,Acc.Sing,"Я не люблю зиму, потому что темнеет уже днём.",I don't like winter because it gets dark during the day.,_,"погода, время",30,
зима,592,winter,N.Fem.Inan,A1,"LM, МН",2,зимой,Ins.Sing,Зимой моя семья всегда ходит на каток.,In winter my family always goes skating.,_,"погода, время",30,
зима,593,winter,N.Fem.Inan,A1,"LM, МН",3,зимы,Gen.Sing,"Я поеду на море в январе, чтобы немного отдохнуть от холодной зимы.",I'll go the beach in January to take a rest from the cold winter.,_,"погода, время",30,
сосед,594,neighbour,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,соседи,Nom.Plur,Недавно к нам заходили новые соседи.,Our new neighbors stopped by recently.,_,"люди, общение, жильё",15,
сосед,595,neighbour,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,соседей,Gen.Plur,В общежитии без помощи соседей никуда.,You can't get by in the dormitory without help from your neighbors.,_,"люди, общение, жильё",15,
сосед,596,neighbour,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,сосед,Nom.Sing,"Мой сосед всегда шумит по утрам, это невозможно терпеть!",My neighbor is always making noise in the morning. It's unbearable.,_,"люди, общение, жильё",15,
повторять,597,repeat,V,A1,МН,1,повторяю,Imperf.Sing.1,"Чтобы лучше запомнить новое слово, я повторяю его несколько раз.","In order to memorize a new word, I repeat it several times.",_,"люди, учёба/работа, общение",6,
повторять,598,repeat,V,A1,МН,2,повторяет,Imperf.Sing.3,"Учитель повторяет одно и то же, мне не интересно.","The teacher repeats the same thing over and over, I'm not interested.",_,"люди, учёба/работа, общение",6,
повторять,599,repeat,V,A1,МН,3,повторять,Imperf.Inf,Завтра я буду повторять материал к занятию и не смогу прийти в гости.,Tomorrow I’ll be studying for my lesson and can’t come and see you.,_,"люди, учёба/работа, общение",6,
готовый,600,ready,A,A1,"LM, МН",1,готовы,Plur,"Автобус уже через полчаса, вы готовы?","The bus will come in 30 minutes, are you ready?",_,"описание, учёба/работа, время",16,
готовый,601,ready,A,A1,"LM, МН",2,готов,Masc.Sing,"Вася, иди на кухню, обед готов.","Vasya, go to the kitchen, dinner is ready.",_,"описание, учёба/работа, время",16,
готовый,602,ready,A,A1,"LM, МН",3,готово,Neut.Sing,У меня уже всё готово к этому учебному году.,I've already prepared everything for this academic year.,_,"описание, учёба/работа, время",16,
подарить,603,give a present,V,A1,"Golosa, MiP, LM, МН",1,подарил,Perf.Masc.Sing.Past,"Арина очень хотела эту книгу, поэтому я подарил её на день рождения.","Arina really wanted this book, so I gave it as her birthday present.",_,"люди, общение",27,
подарить,604,give a present,V,A1,"Golosa, MiP, LM, МН",2,подарить,Perf.Inf,"Я не знаю, что подарить маме на восьмое марта.",I don't know what to give my mother for the eighth of March.,_,"люди, общение",27,
подарить,605,give a present,V,A1,"Golosa, MiP, LM, МН",3,подарила,Perf.Fem.Sing.Past,Что ты подарила невесте и жениху на свадьбу?,What was your wedding present for the bride and groom?,_,"люди, общение",27,
господин,606,mister,N.Masc.Anim,A1,МН,1,господин,Nom.Sing,Господин Сахаров – наш новый сосед.,Mister Sakharov is our new neighbor.,_,люди,23,
господин,607,mister,N.Masc.Anim,A1,МН,2,господа,Nom.Plur,"Дамы и господа, выключите телефоны, спектакль начинается.","Ladies and gentlemen, turn off your phones, the performance is beginning.",_,люди,23,
господин,608,mister,N.Masc.Anim,A1,МН,3,господина,Gen.Sing,"Иван Бунин – автор ""Господина из Сан-Франциско"".","Ivan Bunin is the author of ""The Gentleman from San Francisco"".",_,люди,23,
телевизор,609,TV,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,телевизору,Dat.Sing,"По телевизору ничего интересного, выключи.","There is nothing interesting on TV, turn it off.",_,свободное время,15,
телевизор,610,TV,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,телевизор,Acc.Sing,Моя бабушка смотрит телевизор каждый вечер.,My grandmother watches TV every evening.,_,свободное время,15,
телевизор,611,TV,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,телевизора,Gen.Sing,"У Кати дома нет телевизора, она смотрит новости в Интернете.","Katya doesn’t have a TV at home, she watches news on the Internet.",_,свободное время,15,
фамилия,612,surname,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,фамилия,Nom.Sing,У Алёны такая красивая фамилия!,Alyona has such a pretty surname!,_,"люди, общение",15,
фамилия,613,surname,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,фамилию,Acc.Sing,"Я не буду менять фамилию, когда выйду замуж.",I will not change my surname when I get married.,_,"люди, общение",15,
фамилия,614,surname,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,фамилии,Acc.Plur,Новые студенты должны записать свои фамилии в список курса.,New students must enter their surnames in the list of students.,_,"люди, общение",15,
